customer_id,text,sentiment,timestamp
C101,"Delivery was delayed twice and customer support did not respond",negative,2025-02-10
C102,"Product quality is good but delivery was slow",neutral,2025-02-11
C103,"Excellent service and fast delivery",positive,2025-02-12
C104,"Customer support responded late regarding my refund request",negative,2025-02-13
C105,"The product arrived on time and was well packaged",positive,2025-02-14
C106,"Delivery took longer than expected and tracking information was inaccurate",negative,2025-02-15
C107,"Good product quality but the packaging was damaged",neutral,2025-02-16
C108,"Fast delivery and helpful customer support",positive,2025-02-17
C109,"Received wrong product and support took too long to resolve",negative,2025-02-18
C110,"Delivery was quick but the product quality was average",neutral,2025-02-19
C111,"Very satisfied with the fast delivery and product quality",positive,2025-02-20
C112,"Refund process was slow and customer support was unhelpful",negative,2025-02-21
C113,"Packaging was secure and delivery was on time",positive,2025-02-22
C114,"Tracking details were not updated properly and delivery got delayed",negative,2025-02-23
C115,"Product is decent for the price but delivery took longer",neutral,2025-02-24
C116,"Amazing experience, fast shipping and excellent service",positive,2025-02-25
C117,"Damaged item received and replacement took too long",negative,2025-02-26
C118,"Customer support was helpful but response time could be better",neutral,2025-02-27
C119,"Very quick delivery and product exceeded expectations",positive,2025-02-28
C120,"Delivery was late and packaging was poor",negative,2025-03-01
C121,"Product quality is good and delivery was smooth",positive,2025-03-02
C122,"Support team resolved my issue but it took multiple follow-ups",neutral,2025-03-03
C123,"Order arrived damaged and customer support did not respond properly",negative,2025-03-04
C124,"Excellent packaging and timely delivery",positive,2025-03-05
C125,"Delivery was okay but product did not match description",negative,2025-03-06
C126,"Support was polite and helped resolve the issue",positive,2025-03-07
C127,"Delivery delay caused inconvenience but product quality is fine",neutral,2025-03-08
C128,"Super fast delivery and great customer experience",positive,2025-03-09
